taxonomy;organism;record_id
Metazoa;Escarpia sp. 4 JMP-2012;JN021270.1
Metazoa;Escarpia sp. 3 JMP-2012;JN021269.1
Metazoa;Escarpia sp. 2 JMP-2012;JN021268.1
Metazoa;Escarpia sp. 1 JMP-2012;JN021267.1
Metazoa;Bathymodiolus brooksi;JN021266.1
Metazoa;Bathymodiolus heckerae;JN021264.1
Metazoa;Pseudasphondylia matatabi;AB085873.1
Metazoa;Coilia nasus;ON684277.1
Metazoa;Panonychus ulmi;MG850877.1
Metazoa;Trichogramma brassicae;MG850875.1
Metazoa;Dastarcus helophoroides;KT951188.1
Metazoa;Aphis fabae;KT878822.1
Metazoa;Anuraphis cachryos;KT878821.1
Metazoa;Anuraphis catonii;KT878817.1
Metazoa;Roepkea marchali;KT878814.1
Metazoa;Anuraphis shaposhnikovi;KT878811.1
Metazoa;Nearctaphis bakeri;KT878807.1
Metazoa;Anuraphis subterranea;KT878805.1
Metazoa;Anuraphis pyrilaseri;KT878799.1
Metazoa;Anuraphis farfarae;KT878793.1
Metazoa;Geotrupes stercorarius;JX064158.1
Metazoa;Bolbotrypes davidis;JX064156.1
Metazoa;Onthophagus gibbulus;JX064155.1
Metazoa;Onthophagus lenzii;JX064153.1
Metazoa;Onthophagus fodiens;JX064152.1
Metazoa;Onthophagus viduus;JX064150.1
Metazoa;Onthophagus solivagus;JX064147.1
Metazoa;Catharsius molossus;JX064145.1
Metazoa;Pseudambassis baculis;MH918113.1
Metazoa;Pseudambassis lala;MH918112.1
Metazoa;Chanda nama;MH918111.1
Metazoa;Parambassis ranga;MH918109.1
Metazoa;Parambassis waikhomi;MH918100.1
Metazoa;Thrips tabaci;MN199090.1
Metazoa;Botia dario;MH171911.1
Metazoa;Bemisia tabaci;MF289534.1
Metazoa;Onyxacalles georgius;MF946564.1
Metazoa;Calacalles manriquei;MF946563.1
Metazoa;Brachygenys jessiae;MF446585.1
Metazoa;Xenichthys agassizii;MF446584.1
Metazoa;Rhonciscus bayanus;MF446583.1
Metazoa;Orthopristis forbesi;MF446582.1
Metazoa;Orthopristis cantharina;MF446581.1
Metazoa;Haemulon striatum;MF446580.1
Metazoa;Haemulon boschmae;MF446579.1
Metazoa;Emmelichthyops atlanticus;MF446578.1
Metazoa;Anisotremus aff. scapularis JT-2018;MF446577.1
Metazoa;Anisotremus aff. interruptus JT-2018;MF446576.1
Metazoa;Anteaeolidiella poshitra;KX276654.1
Metazoa;Anteaeolidiella fijensis;KX276653.1
Metazoa;Psorophora ferox;KM593062.1
Metazoa;Ochlerotatus angustivittatus;KM593061.1
Metazoa;Culex sp. ZFMK PR075-Colombia;KM593060.1
Metazoa;Culex spinosus;KM593059.1
