strain;region;country
ARG/Cordoba-1006-155/2020;South America;Argentina
ARG/Cordoba-1083-6/2020;South America;Argentina
ARG/Cordoba-11300-61/2020;South America;Argentina
ARG/Cordoba-11301-61/2020;South America;Argentina
ARG/Cordoba-11419-61/2020;South America;Argentina
ARG/Cordoba-11499-61/2020;South America;Argentina
ARG/Cordoba-11859-61/2020;South America;Argentina
ARG/Cordoba-11860-61/2020;South America;Argentina
ARG/Cordoba-12712-61/2020;South America;Argentina
ARG/Cordoba-12713-61/2020;South America;Argentina
ARG/Cordoba-12873-61/2020;South America;Argentina
ARG/Cordoba-13221/2020;South America;Argentina
ARG/Cordoba-1413/2020;South America;Argentina
ARG/Cordoba-1484/2020;South America;Argentina
ARG/Cordoba-1568/2020;South America;Argentina
ARG/Cordoba-15965/2020;South America;Argentina
ARG/Cordoba-15976/2020;South America;Argentina
ARG/Cordoba-15977/2020;South America;Argentina
ARG/Cordoba-160-148/2020;South America;Argentina
ARG/Cordoba-16161/2020;South America;Argentina
ARG/Cordoba-16231-61/2020;South America;Argentina
ARG/Cordoba-16232-61/2020;South America;Argentina
ARG/Cordoba-189-251/2020;South America;Argentina
ARG/Cordoba-2489/2020;South America;Argentina
ARG/Cordoba-2635-202/2020;South America;Argentina
ARG/Cordoba-2842-202/2020;South America;Argentina
ARG/Cordoba-2858/2020;South America;Argentina
ARG/Cordoba-2859-202/2020;South America;Argentina
ARG/Cordoba-2932/2020;South America;Argentina
ARG/Cordoba-3199/2020;South America;Argentina
ARG/Cordoba-323-200/2020;South America;Argentina
ARG/Cordoba-3696-24/2020;South America;Argentina
ARG/Cordoba-3719/2020;South America;Argentina
ARG/Cordoba-3734-24/2020;South America;Argentina
ARG/Cordoba-441-200/2020;South America;Argentina
ARG/Cordoba-586-147/2020;South America;Argentina
ARG/Cordoba-83535/2020;South America;Argentina
ARG/Cordoba-84101/2020;South America;Argentina
ARG/Cordoba-891/2020;South America;Argentina
ARG/Cordoba-919/2020;South America;Argentina
ARG/Cordoba-920/2020;South America;Argentina
ARG/Cordoba-969-155/2020;South America;Argentina
ARG/Cordoba-973/2020;South America;Argentina
AUS/NT01/2020;Oceania;Australia
AUS/NT02/2020;Oceania;Australia
AUS/NT04/2020;Oceania;Australia
AUS/NT05/2020;Oceania;Australia
AUS/NT06/2020;Oceania;Australia
AUS/NT08/2020;Oceania;Australia
AUS/NT10/2020;Oceania;Australia
AUS/NT11/2020;Oceania;Australia
AUS/NT12/2020;Oceania;Australia
AUS/NT13/2020;Oceania;Australia
AUS/NT14/2020;Oceania;Australia
AUS/NT16/2020;Oceania;Australia
AUS/NT17/2020;Oceania;Australia
AUS/NT18/2020;Oceania;Australia
AUS/NT19/2020;Oceania;Australia
AUS/NT27/2020;Oceania;Australia
AUS/NT28/2020;Oceania;Australia
AUS/NT29/2020;Oceania;Australia
AUS/NT30/2020;Oceania;Australia
AUS/NT31/2020;Oceania;Australia
AUS/NT32/2020;Oceania;Australia
AUS/NT36/2020;Oceania;Australia
AUS/NT37/2020;Oceania;Australia
AUS/NT38/2020;Oceania;Australia
AUS/NT39/2020;Oceania;Australia
AUS/NT41/2020;Oceania;Australia
AUS/NT42/2020;Oceania;Australia
AUS/NT47/2020;Oceania;Australia
AUS/NT48/2020;Oceania;Australia
AUS/NT49/2020;Oceania;Australia
AUS/NT51/2020;Oceania;Australia
AUS/NT52/2020;Oceania;Australia
AUS/NT53/2020;Oceania;Australia
AUS/SA01/2020;Oceania;Australia
AUS/SA02/2020;Oceania;Australia
AUS/SA03/2020;Oceania;Australia
AUS/SA04/2020;Oceania;Australia
AUS/TAS01/2020;Oceania;Australia
AUS/TAS02/2020;Oceania;Australia
AUS/TAS03/2020;Oceania;Australia
AUS/TAS04/2020;Oceania;Australia
AUS/TAS05/2020;Oceania;Australia
AUS/TAS06/2020;Oceania;Australia
AUS/TAS07/2020;Oceania;Australia
AUS/TAS08/2020;Oceania;Australia
AUS/TAS09/2020;Oceania;Australia
AUS/TAS10/2020;Oceania;Australia
AUS/TAS100/2020;Oceania;Australia
AUS/TAS101/2020;Oceania;Australia
AUS/TAS102/2020;Oceania;Australia
AUS/TAS103/2020;Oceania;Australia
AUS/TAS104/2020;Oceania;Australia
AUS/TAS105/2020;Oceania;Australia
AUS/TAS107/2020;Oceania;Australia
AUS/TAS108/2020;Oceania;Australia
AUS/TAS109/2020;Oceania;Australia
AUS/TAS11/2020;Oceania;Australia
AUS/TAS110/2020;Oceania;Australia
AUS/TAS111/2020;Oceania;Australia
AUS/TAS112/2020;Oceania;Australia
AUS/TAS113/2020;Oceania;Australia
AUS/TAS114/2020;Oceania;Australia
AUS/TAS115/2020;Oceania;Australia
AUS/TAS116/2020;Oceania;Australia
AUS/TAS117/2020;Oceania;Australia
AUS/TAS12/2020;Oceania;Australia
AUS/TAS120/2020;Oceania;Australia
AUS/TAS121/2020;Oceania;Australia
AUS/TAS122/2020;Oceania;Australia
AUS/TAS124/2020;Oceania;Australia
AUS/TAS125/2020;Oceania;Australia
AUS/TAS126/2020;Oceania;Australia
AUS/TAS127/2020;Oceania;Australia
AUS/TAS128/2020;Oceania;Australia
